definition_id,family_id,state,symbol,feasible_row_count
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_HBARUSD,621
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_HFTUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_HFTUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_HFTUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_HYPEUSD,11945
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_HYPEUSD,6205
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_HYPEUSD,324
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ICPUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ICPUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ICPUSD,1477
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_ICXUSD,11
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_ICXUSD,928
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_ICXUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_IMXUSD,9419
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_IMXUSD,6128
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_IMXUSD,149
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_INJUSD,2135
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_INJUSD,1241
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_INJUSD,665
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_IOTAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_IOTAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_IOTAUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_IOUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_IOUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_IOUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_IPUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_IPUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_IPUSD,1
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_JASMYUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_JASMYUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_JASMYUSD,508
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_JTOUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_JTOUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_JTOUSD,34
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_JUPUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_JUPUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_JUPUSD,365
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_KAIAUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_KAIAUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_KAIAUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_KAITOUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_KAITOUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_KAITOUSD,0
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_KASUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_KASUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_KASUSD,740
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_KAVAUSD,3321
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_KAVAUSD,5153
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_KAVAUSD,8
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_KSMUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_KSMUSD,0
kda03_basis_liq_reset,KDA03,extreme_basis_with_liquidation_and_OI_reset,PF_KSMUSD,118
kda03_basis_oi,KDA03,basis_expansion_with_OI_confirmation,PF_LDOUSD,0
kda03_basis_no_price,KDA03,basis_expansion_without_price_confirmation,PF_LDOUSD,0
