year,symbol,exact_aligned_rows,trade_coverage_rows,mark_coverage_rows,analytics_coverage_rows,eligible_rows,first_usable_ts,last_usable_ts
2025,PF_BANANAUSD,104833,104833,104833,104833,2016,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BANDUSD,86257,86257,86257,86257,84096,2023-03-07 11:55:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BANDUSD,105408,105408,105408,105408,87264,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BANDUSD,104833,104833,104833,104833,3168,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BATUSD,86220,86220,86220,86220,84096,2023-03-07 15:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BATUSD,105408,105408,105408,105408,99648,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BATUSD,104833,104833,104833,104833,24193,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BBUSD,55723,55723,55723,55723,0,2024-06-21 12:25:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BBUSD,104833,104833,104833,104833,288,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BCHUSD,86252,86252,86252,86252,84096,2023-03-07 12:20:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BCHUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BCHUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BEAMUSD,74127,74127,74127,74127,68544,2024-04-18 14:45:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BEAMUSD,104833,104833,104833,104833,8640,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_BERAUSD,92519,92519,92519,92519,51552,2025-02-12 18:10:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BIGTIMEUSD,54518,54518,54518,54518,0,2024-06-25 16:50:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BIGTIMEUSD,104833,104833,104833,104833,11808,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2025,PF_BIOUSD,96840,96840,96840,96840,12384,2025-01-28 18:05:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BLURUSD,86256,86256,86256,86256,84096,2023-03-07 12:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BLURUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BLURUSD,104833,104833,104833,104833,21024,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BNBUSD,11361,11361,11361,11361,576,2023-11-22 13:15:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BNBUSD,105408,105408,105408,105408,105408,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BNBUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BOMEUSD,72365,72365,72365,72365,0,2024-04-24 17:35:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BOMEUSD,104833,104833,104833,104833,21312,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_BONKUSD,2952,2952,2952,2952,0,2023-12-21 18:00:00+00:00,2023-12-31 23:55:00+00:00
2024,PF_BONKUSD,105408,105408,105408,105408,68832,2024-01-01 00:00:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BONKUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_BRETTUSD,56529,56529,56529,56529,1440,2024-06-18 17:15:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_BRETTUSD,104833,104833,104833,104833,104833,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_CAKEUSD,12155,12155,12155,12155,0,2024-11-19 19:05:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CAKEUSD,104833,104833,104833,104833,37728,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2024,PF_CATUSD,17644,17644,17644,17644,1440,2024-10-31 17:40:00+00:00,2024-12-31 23:55:00+00:00
2025,PF_CATUSD,104833,104833,104833,104833,49248,2025-01-01 00:00:00+00:00,2025-12-31 00:00:00+00:00
2023,PF_CFXUSD,41134,41134,41134,41134,576,2023-08-11 04:10:00+00:00,2023-12-31 23:55:00+00:00
