symbol,year,grammar_cell,state_rows,onsets,episodes,duration_minutes_median,duration_minutes_p95
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi,2134,1624,1624,5.0,15.0
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation,51,33,33,5.0,15.0
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_level,140,132,132,5.0,7.249999999999943
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_level,847,642,642,5.0,15.0
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_level,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi+basis_change,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi+breadth,115,99,99,5.0,10.0
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi+breadth,543,435,435,5.0,10.0
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi+breadth,0,0,0,,
PF_ANKRUSD,2023,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ANKRUSD,2024,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_ANKRUSD,2025,trade_downside+mark_downside+structural_rejection+oi+liquidation+basis_change,0,0,0,,
PF_APEUSD,2023,trade_downside+mark_downside+structural_rejection,7039,5369,5369,5.0,15.0
PF_APEUSD,2024,trade_downside+mark_downside+structural_rejection,15278,9901,9901,5.0,15.0
