symbol,year,rows,eligible_rows,price_available,OI_available,liquidation_available,basis_level_available,basis_change_available,breadth_available
PF_GMTUSD,2024,105408,104832,105408,105408,20736,105408,0,105408
PF_GMTUSD,2025,104833,45793,104833,104833,0,104833,0,104833
PF_GMXUSD,2023,85839,576,85827,85827,0,77472,6624,85839
PF_GMXUSD,2024,105408,103968,105408,105408,5184,105408,0,105408
PF_GMXUSD,2025,104833,13248,104833,104833,0,104833,6625,104833
PF_GOATUSD,2023,0,0,0,0,0,0,0,0
PF_GOATUSD,2024,19622,1440,19610,19610,11232,11232,0,19622
PF_GOATUSD,2025,104833,104833,104833,104833,86688,104833,1729,104833
PF_GRASSUSD,2023,0,0,0,0,0,0,0,0
PF_GRASSUSD,2024,13557,0,13545,13543,5184,5184,0,13557
PF_GRASSUSD,2025,104833,85248,104833,104833,21600,104833,0,104833
PF_GRIFFAINUSD,2023,0,0,0,0,0,0,0,0
PF_GRIFFAINUSD,2024,0,0,0,0,0,0,0,0
PF_GRIFFAINUSD,2025,98589,68256,98577,98577,57600,90145,1440,98589
PF_GRTUSD,2023,86260,84096,86248,86248,18432,77760,0,86260
PF_GRTUSD,2024,105408,105408,105408,105408,69120,105408,0,105408
PF_GRTUSD,2025,104833,56737,104833,104833,8928,104833,0,104833
PF_HBARUSD,2023,0,0,0,0,0,0,0,0
PF_HBARUSD,2024,54518,1440,54506,54456,10944,46080,0,54518
PF_HBARUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_HFTUSD,2023,45579,576,45567,44337,0,37152,0,45579
PF_HFTUSD,2024,105408,72864,105408,105408,0,105408,0,105408
PF_HFTUSD,2025,104833,12672,104833,104833,0,104833,2881,104833
PF_HYPEUSD,2023,0,0,0,0,0,0,0,0
PF_HYPEUSD,2024,0,0,0,0,0,0,0,0
PF_HYPEUSD,2025,97950,88129,97938,97938,84961,89569,28512,97950
PF_ICPUSD,2023,86232,84096,86220,86220,0,77760,0,86232
PF_ICPUSD,2024,105408,105408,105408,105408,101664,105408,0,105408
PF_ICPUSD,2025,104833,104833,104833,104833,76897,104833,0,104833
PF_ICXUSD,2023,86219,84096,86207,86207,0,77760,0,86219
PF_ICXUSD,2024,105408,103968,105408,105408,0,105408,1152,105408
PF_ICXUSD,2025,104833,0,104833,104833,0,104833,9217,104833
PF_IMXUSD,2023,86255,84096,86243,86243,6048,77760,4320,86255
PF_IMXUSD,2024,105408,105408,105408,105408,35424,105408,22752,105408
PF_IMXUSD,2025,104833,39744,104833,104833,288,104833,0,104833
PF_INJUSD,2023,77880,576,77868,77820,23616,69408,10080,77880
PF_INJUSD,2024,105408,105408,105408,105408,105408,105408,4320,105408
PF_INJUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_IOTAUSD,2023,0,0,0,0,0,0,0,0
PF_IOTAUSD,2024,7595,0,7583,7583,0,0,0,7595
PF_IOTAUSD,2025,104833,3456,104833,104833,0,103969,41185,104833
PF_IOUSD,2023,0,0,0,0,0,0,0,0
PF_IOUSD,2024,0,0,0,0,0,0,0,0
PF_IOUSD,2025,96832,1440,96820,96820,0,88417,39745,96832
PF_IPUSD,2023,0,0,0,0,0,0,0,0
PF_IPUSD,2024,0,0,0,0,0,0,0,0
PF_IPUSD,2025,85971,38016,85959,85959,864,77473,576,85971
PF_JASMYUSD,2023,77879,576,77867,77640,0,69408,0,77879
PF_JASMYUSD,2024,105408,105408,105408,105408,75744,105408,0,105408
PF_JASMYUSD,2025,104833,104833,104833,104833,51264,104833,0,104833
PF_JTOUSD,2023,2950,0,2938,2938,0,0,0,2950
PF_JTOUSD,2024,105408,68832,105408,105408,33696,99936,0,105408
PF_JTOUSD,2025,104833,89569,104833,104833,0,104833,0,104833
PF_JUPUSD,2023,0,0,0,0,0,0,0,0
PF_JUPUSD,2024,96311,68832,96299,96299,60192,87840,0,96311
PF_JUPUSD,2025,104833,104833,104833,104833,49824,104833,0,104833
PF_KAIAUSD,2023,0,0,0,0,0,0,0,0
PF_KAIAUSD,2024,13588,0,13576,13576,0,5184,0,13588
PF_KAIAUSD,2025,104833,6048,104833,104833,0,104833,11233,104833
PF_KAITOUSD,2023,0,0,0,0,0,0,0,0
PF_KAITOUSD,2024,0,0,0,0,0,0,0,0
PF_KAITOUSD,2025,84751,36000,84739,84739,7200,76321,0,84751
PF_KASUSD,2023,0,0,0,0,0,0,0,0
PF_KASUSD,2024,102346,68832,102334,102333,90720,93888,0,102346
PF_KASUSD,2025,104833,104833,104833,104833,104833,104833,0,104833
PF_KAVAUSD,2023,86233,84096,86221,86221,10944,77760,0,86233
PF_KAVAUSD,2024,105408,103968,105408,105408,0,105408,0,105408
PF_KAVAUSD,2025,104833,38881,104833,104833,0,104833,14689,104833
PF_KSMUSD,2023,86258,84096,86246,86246,0,77760,0,86258
PF_KSMUSD,2024,105408,105408,105408,105408,19008,105408,0,105408
PF_KSMUSD,2025,104833,67969,104833,104833,16128,104833,0,104833
PF_LDOUSD,2023,85950,576,85938,85938,0,77472,0,85950
PF_LDOUSD,2024,105408,105408,105408,105408,50976,105408,0,105408
PF_LDOUSD,2025,104833,104833,104833,104833,57600,104833,0,104833
PF_LINKUSD,2023,86258,84096,86246,86246,77760,77760,0,86258
PF_LINKUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_LINKUSD,2025,104833,104833,104833,104833,104833,97633,0,104833
PF_LPTUSD,2023,86259,84096,86247,86247,0,77760,0,86259
PF_LPTUSD,2024,105408,105408,105408,105408,7776,105408,0,105408
PF_LPTUSD,2025,104833,88993,104833,104833,7776,104833,13824,104833
PF_LRCUSD,2023,86248,84096,86236,86236,0,77760,0,86248
PF_LRCUSD,2024,105408,103968,105408,105408,11520,105408,0,105408
PF_LRCUSD,2025,104833,0,104833,104833,0,104833,0,104833
PF_LSKUSD,2023,0,0,0,0,0,0,0,0
PF_LSKUSD,2024,96594,61056,96582,96582,1440,88128,0,96594
PF_LSKUSD,2025,104833,5760,104833,104833,0,104833,6336,104833
PF_LTCUSD,2023,86260,84096,86248,86248,77760,77760,0,86260
PF_LTCUSD,2024,105408,105408,105408,105408,105408,105408,0,105408
PF_LTCUSD,2025,104833,104833,104833,104833,104833,90433,0,104833
PF_LUNA2USD,2023,86257,84096,86245,86245,0,77760,0,86257
PF_LUNA2USD,2024,105408,105408,105408,105408,15552,105408,0,105408
PF_LUNA2USD,2025,104833,7200,104833,104833,0,104833,12960,104833
PF_MANAUSD,2023,86257,84096,86245,86245,4896,77760,0,86257
PF_MANAUSD,2024,105408,105408,105408,105408,15840,105408,0,105408
PF_MANAUSD,2025,104833,104833,104833,104833,35424,104833,0,104833
PF_MELANIAUSD,2023,0,0,0,0,0,0,0,0
PF_MELANIAUSD,2024,0,0,0,0,0,0,0,0
PF_MELANIAUSD,2025,99214,78912,99202,99201,36864,90721,31393,99214
PF_MEWUSD,2023,0,0,0,0,0,0,0,0
PF_MEWUSD,2024,56549,1440,56537,56466,46944,48096,0,56549
PF_MEWUSD,2025,104833,84097,104833,104833,14400,104833,5185,104833
PF_MINAUSD,2023,86232,84096,86220,86220,4320,77760,0,86232
PF_MINAUSD,2024,105408,103968,105408,105408,38016,105408,0,105408
PF_MINAUSD,2025,104833,6624,104833,104833,12673,104833,62497,104833
