symbol,year,unique_economic_addresses,addresses_in_multiple_grammar_cells,total_grammar_memberships,maximum_grammar_memberships_per_address
PF_ZENUSD,2023,0,0,0,0
PF_ZENUSD,2024,0,0,0,0
PF_ZENUSD,2025,1961,898,3441,5
PF_ZEREBROUSD,2023,0,0,0,0
PF_ZEREBROUSD,2024,0,0,0,0
PF_ZEREBROUSD,2025,157,36,237,5
PF_ZETAUSD,2023,0,0,0,0
PF_ZETAUSD,2024,0,0,0,0
PF_ZETAUSD,2025,82,21,118,4
PF_ZKUSD,2023,0,0,0,0
PF_ZKUSD,2024,0,0,0,0
PF_ZKUSD,2025,4994,2001,8098,4
PF_ZROUSD,2023,0,0,0,0
PF_ZROUSD,2024,0,0,0,0
PF_ZROUSD,2025,1811,721,2890,5
PF_ZRXUSD,2023,11,1,13,3
PF_ZRXUSD,2024,5850,2554,9570,5
PF_ZRXUSD,2025,82,27,120,4
