symbol,first_raw_OI_timestamp,first_complete_causal_lookback,first_admissible_onset_timestamp,invalid_boundary_start,invalid_boundary_end,truncation_status,gap_count,OI_missing_bars_inside_retention,last_raw_OI_timestamp
PF_KASUSD,2024-01-11 15:10:00+00:00,2024-05-07 00:00:00+00:00,2024-05-07 00:05:00+00:00,2024-01-11 15:10:00+00:00,2024-05-07 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_KAVAUSD,2023-03-07 13:55:00+00:00,2024-04-17 00:00:00+00:00,2024-04-17 00:45:00+00:00,2023-03-07 13:55:00+00:00,2024-04-17 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_KSMUSD,2023-03-07 11:50:00+00:00,,,2023-03-07 11:50:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LDOUSD,2023-03-08 13:30:00+00:00,2024-01-26 00:00:00+00:00,2024-01-26 00:10:00+00:00,2023-03-08 13:30:00+00:00,2024-01-26 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LINKUSD,2023-03-07 11:50:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:05:00+00:00,2023-03-07 11:50:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LPTUSD,2023-03-07 11:45:00+00:00,2024-04-14 00:00:00+00:00,2024-04-14 01:20:00+00:00,2023-03-07 11:45:00+00:00,2024-04-14 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LRCUSD,2023-03-07 12:40:00+00:00,,,2023-03-07 12:40:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LSKUSD,2024-01-31 14:30:00+00:00,,,2024-01-31 14:30:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LTCUSD,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 01:45:00+00:00,2023-03-07 11:40:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_LUNA2USD,2023-03-07 11:55:00+00:00,,,2023-03-07 11:55:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MANAUSD,2023-03-07 11:55:00+00:00,2023-04-06 00:00:00+00:00,2023-04-06 00:10:00+00:00,2023-03-07 11:55:00+00:00,2023-04-06 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MELANIAUSD,2025-01-20 12:15:00+00:00,2025-02-28 00:00:00+00:00,2025-02-28 01:15:00+00:00,2025-01-20 12:15:00+00:00,2025-02-28 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MEWUSD,2024-06-18 15:35:00+00:00,2024-12-27 00:00:00+00:00,2024-12-27 02:45:00+00:00,2024-06-18 15:35:00+00:00,2024-12-27 00:00:00+00:00,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
PF_MINAUSD,2023-03-07 14:00:00+00:00,,,2023-03-07 14:00:00+00:00,,left_truncated_OI,0,0,2025-12-31 00:00:00+00:00
