symbol,in_export,in_reconciled_479,in_k0_included_460,in_campaign_187,comparison_status
PF_HFTUSD,True,True,True,True,campaign_exact_mapped
PF_HIGHUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HIPPOUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HIVEUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HMSTRUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HNTUSD,True,True,False,False,reconciled_and_export_noncampaign
PF_HONEYUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HOODXUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_HOOKUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HOTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_HYPEUSD,True,True,True,True,campaign_exact_mapped
PF_ICPUSD,True,True,True,True,campaign_exact_mapped
PF_ICXUSD,True,True,True,True,campaign_exact_mapped
PF_IDEXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_IDUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_IMXUSD,True,True,True,True,campaign_exact_mapped
PF_INITUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_INJUSD,True,True,True,True,campaign_exact_mapped
PF_IOSTUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_IOTAUSD,True,True,True,True,campaign_exact_mapped
PF_IOTXUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_IOUSD,True,True,True,True,campaign_exact_mapped
PF_IPUSD,True,True,True,True,campaign_exact_mapped
PF_JASMYUSD,True,True,True,True,campaign_exact_mapped
PF_JPYUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_JTOUSD,True,True,True,True,campaign_exact_mapped
PF_JUPUSD,True,True,True,True,campaign_exact_mapped
PF_KAIAUSD,True,True,True,True,campaign_exact_mapped
PF_KAITOUSD,True,True,True,True,campaign_exact_mapped
PF_KASUSD,True,True,True,True,campaign_exact_mapped
PF_KATUSD,False,True,False,False,reconciled_missing_export_noncampaign
PF_KAVAUSD,True,True,True,True,campaign_exact_mapped
PF_KDAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_KEYUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_KMNOUSD,True,False,False,False,export_only_not_reconciled
PF_KNCUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_KOMAUSD,True,True,True,False,reconciled_and_export_noncampaign
PF_KSMUSD,True,True,True,True,campaign_exact_mapped
