symbol,partition,row_count,numeric_rate_parsing
PF_BANANAUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BANANAUSD,rankable_2023_2025,11092,Decimal
PF_BANANAUSD,unknown_or_invalid,0,none
PF_BANDUSD,pre_rankable_before_2023_excluded,2291,Decimal_schema_only_not_calibration
PF_BANDUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BANDUSD,rankable_2023_2025,26297,Decimal
PF_BANDUSD,unknown_or_invalid,0,none
PF_BANUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BANUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BANUSD,rankable_2023_2025,7962,Decimal
PF_BANUSD,unknown_or_invalid,0,none
PF_BARDUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BARDUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BARDUSD,rankable_2023_2025,856,Decimal
PF_BARDUSD,unknown_or_invalid,0,none
PF_BATUSD,pre_rankable_before_2023_excluded,2669,Decimal_schema_only_not_calibration
PF_BATUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BATUSD,rankable_2023_2025,26297,Decimal
PF_BATUSD,unknown_or_invalid,0,none
PF_BBUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BBUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BBUSD,rankable_2023_2025,13420,Decimal
PF_BBUSD,unknown_or_invalid,0,none
PF_BCHUSD,pre_rankable_before_2023_excluded,3389,Decimal_schema_only_not_calibration
PF_BCHUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BCHUSD,rankable_2023_2025,26297,Decimal
PF_BCHUSD,unknown_or_invalid,0,none
PF_BDXNUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BDXNUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BDXNUSD,rankable_2023_2025,354,Decimal
PF_BDXNUSD,unknown_or_invalid,0,none
PF_BEAMUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BEAMUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BEAMUSD,rankable_2023_2025,14955,Decimal
PF_BEAMUSD,unknown_or_invalid,0,none
PF_BELUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BELUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BELUSD,rankable_2023_2025,10058,Decimal
PF_BELUSD,unknown_or_invalid,0,none
PF_BERAUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BERAUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BERAUSD,rankable_2023_2025,7730,Decimal
PF_BERAUSD,unknown_or_invalid,0,none
PF_BICOUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BICOUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BICOUSD,rankable_2023_2025,14620,Decimal
PF_BICOUSD,unknown_or_invalid,0,none
PF_BIGTIMEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BIGTIMEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BIGTIMEUSD,rankable_2023_2025,13301,Decimal
PF_BIGTIMEUSD,unknown_or_invalid,0,none
PF_BIOUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BIOUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BIOUSD,rankable_2023_2025,8094,Decimal
PF_BIOUSD,unknown_or_invalid,0,none
PF_BLASTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BLASTUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BLASTUSD,rankable_2023_2025,7914,Decimal
PF_BLASTUSD,unknown_or_invalid,0,none
PF_BLESSUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BLESSUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BLESSUSD,rankable_2023_2025,1072,Decimal
PF_BLESSUSD,unknown_or_invalid,0,none
PF_BLURUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BLURUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BLURUSD,rankable_2023_2025,25195,Decimal
PF_BLURUSD,unknown_or_invalid,0,none
PF_BLZUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BLZUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BLZUSD,rankable_2023_2025,7436,Decimal
PF_BLZUSD,unknown_or_invalid,0,none
PF_BNBUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BNBUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BNBUSD,rankable_2023_2025,18483,Decimal
PF_BNBUSD,unknown_or_invalid,0,none
PF_BNTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BNTUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BNTUSD,rankable_2023_2025,13467,Decimal
PF_BNTUSD,unknown_or_invalid,0,none
PF_BNXUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BNXUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BNXUSD,rankable_2023_2025,5785,Decimal
PF_BNXUSD,unknown_or_invalid,0,none
PF_BOMEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BOMEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BOMEUSD,rankable_2023_2025,14788,Decimal
PF_BOMEUSD,unknown_or_invalid,0,none
PF_BONDUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BONDUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BONDUSD,rankable_2023_2025,4773,Decimal
PF_BONDUSD,unknown_or_invalid,0,none
PF_BONKUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BONKUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BONKUSD,rankable_2023_2025,17788,Decimal
PF_BONKUSD,unknown_or_invalid,0,none
PF_BRETTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BRETTUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BRETTUSD,rankable_2023_2025,13467,Decimal
PF_BRETTUSD,unknown_or_invalid,0,none
PF_BSUUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BSUUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_BSUUSD,rankable_2023_2025,226,Decimal
PF_BSUUSD,unknown_or_invalid,0,none
PF_BSWUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_BSWUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_BSWUSD,rankable_2023_2025,333,Decimal
PF_BSWUSD,unknown_or_invalid,0,none
PF_C98USD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_C98USD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_C98USD,rankable_2023_2025,14115,Decimal
PF_C98USD,unknown_or_invalid,0,none
PF_CAKEUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CAKEUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CAKEUSD,rankable_2023_2025,9771,Decimal
PF_CAKEUSD,unknown_or_invalid,0,none
PF_CATIUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CATIUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CATIUSD,rankable_2023_2025,10612,Decimal
PF_CATIUSD,unknown_or_invalid,0,none
PF_CATUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CATUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CATUSD,rankable_2023_2025,10224,Decimal
PF_CATUSD,unknown_or_invalid,0,none
PF_CELOUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CELOUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CELOUSD,rankable_2023_2025,10612,Decimal
PF_CELOUSD,unknown_or_invalid,0,none
PF_CELRUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CELRUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CELRUSD,rankable_2023_2025,11906,Decimal
PF_CELRUSD,unknown_or_invalid,0,none
PF_CETUSUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CETUSUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CETUSUSD,rankable_2023_2025,10275,Decimal
PF_CETUSUSD,unknown_or_invalid,0,none
PF_CFXUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CFXUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CFXUSD,rankable_2023_2025,21003,Decimal
PF_CFXUSD,unknown_or_invalid,0,none
PF_CGPTUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CGPTUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CGPTUSD,rankable_2023_2025,8094,Decimal
PF_CGPTUSD,unknown_or_invalid,0,none
PF_CHEEMSUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CHEEMSUSD,protected_2026_plus_quarantine,0,none_opaque_raw_line
PF_CHEEMSUSD,rankable_2023_2025,6786,Decimal
PF_CHEEMSUSD,unknown_or_invalid,0,none
PF_CHFUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CHFUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CHFUSD,rankable_2023_2025,6028,Decimal
PF_CHFUSD,unknown_or_invalid,0,none
PF_CHILLGUYUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CHILLGUYUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CHILLGUYUSD,rankable_2023_2025,8404,Decimal
PF_CHILLGUYUSD,unknown_or_invalid,0,none
PF_CHRUSD,pre_rankable_before_2023_excluded,0,Decimal_schema_only_not_calibration
PF_CHRUSD,protected_2026_plus_quarantine,745,none_opaque_raw_line
PF_CHRUSD,rankable_2023_2025,14453,Decimal
PF_CHRUSD,unknown_or_invalid,0,none
